pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493587905250,2025-06-01 14:24:00,confirmado,4550.33,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493587905250,2025-06-21 11:17:00,confirmado,10419.76,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493587905250,2025-07-15 11:48:00,confirmado,6254.60,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493587905250,2025-08-05 08:17:00,confirmado,7892.49,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493587905250,2025-08-19 12:00:00,confirmado,25307.96,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493587905250,2025-09-18 14:21:00,confirmado,3744.44,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493587905250,2025-10-03 09:16:00,confirmado,9722.29,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493582641213,2025-06-01 12:20:00,confirmado,8203.55,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493582641213,2025-06-24 15:56:00,confirmado,6725.57,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493582641213,2025-07-18 10:51:00,confirmado,8013.60,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493582641213,2025-08-06 08:02:00,confirmado,12453.51,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493582641213,2025-08-29 08:48:00,confirmado,3016.06,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493582641213,2025-09-16 10:59:00,confirmado,4158.57,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493582641213,2025-10-07 08:45:00,confirmado,7176.70,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5492991227644,2025-06-01 10:05:00,confirmado,6263.04,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5492991227644,2025-06-17 09:12:00,confirmado,4148.54,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5492991227644,2025-07-16 15:22:00,confirmado,5229.54,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,5492991227644,2025-08-03 15:19:00,confirmado,5321.64,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,5492991227644,2025-08-29 17:34:00,confirmado,12265.32,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,5492991227644,2025-09-17 09:38:00,confirmado,5336.27,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,5492991227644,2025-09-30 10:39:00,confirmado,4938.98,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,5493418277249,2025-06-01 18:52:00,confirmado,14157.76,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,5493418277249,2025-06-22 08:09:00,confirmado,8621.60,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,5493418277249,2025-07-16 09:31:00,confirmado,4313.15,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,5493418277249,2025-08-01 18:51:00,confirmado,9973.81,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,5493418277249,2025-08-26 13:39:00,confirmado,12327.61,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000027,5493418277249,2025-09-19 08:39:00,confirmado,18058.68,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000028,5493418277249,2025-10-07 08:35:00,confirmado,2155.40,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000029,5493587747641,2025-06-01 09:56:00,confirmado,5019.32,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000030,5493587747641,2025-06-19 13:27:00,confirmado,2985.18,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000031,5493587747641,2025-07-12 08:37:00,confirmado,14114.32,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000032,5493587747641,2025-08-03 10:31:00,confirmado,9167.37,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000033,5493587747641,2025-08-21 16:53:00,confirmado,6403.60,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000034,5493587747641,2025-09-18 08:27:00,confirmado,7393.75,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000035,5493587747641,2025-10-08 12:01:00,confirmado,6403.60,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000036,5492614053074,2025-06-03 11:23:00,confirmado,5958.04,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000037,5492614053074,2025-06-20 09:17:00,confirmado,1508.03,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000038,5492614053074,2025-07-08 10:21:00,confirmado,10548.69,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000039,5492614053074,2025-08-02 08:29:00,confirmado,5347.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000040,5492614053074,2025-08-20 15:12:00,confirmado,10436.98,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000041,5492614053074,2025-09-12 16:35:00,confirmado,4818.17,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000042,5492614053074,2025-10-06 11:53:00,confirmado,8493.85,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000043,5493514079279,2025-06-01 13:47:00,confirmado,5369.97,Pedido histórico field mock,true,false,fase-06-1-field-backbone
