pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,1001,"JABON LIQUIDO B/E (TIPO ARIEL 8% mat. Activa ) ""SOAP CLEAN"" L.P.U. — 5 L",1,908.76,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,1009,"SUAVIZANTE PARA ROPA ""SOAP CLEAN""  *CELESTE  *BLANCO *AMARILLO *ROSA *VIOLETA — 5 L",1,1018.16,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,6002,DESENGRASANTE LIMON L.P.U. — 5 L,2,731.26,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,4002,DETERGENTE CRISTAL VERDE L.P.U. — 5 L,1,1160.89,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000002,1001,"JABON LIQUIDO B/E (TIPO ARIEL 8% mat. Activa ) ""SOAP CLEAN"" L.P.U. — 5 L",2,908.76,2,Pedido histórico field mock (2025-06-21),true,5493587905250
PF-000002,1009,"SUAVIZANTE PARA ROPA ""SOAP CLEAN""  *CELESTE  *BLANCO *AMARILLO *ROSA *VIOLETA — 5 L",2,1018.16,2,Pedido histórico field mock (2025-06-21),true,5493587905250
PF-000002,4006,DETERGENTE TIPO MAGISTRAL L.P.U. — 5 L,4,1641.48,2,Pedido histórico field mock (2025-06-21),true,5493587905250
PF-000003,1001,"JABON LIQUIDO B/E (TIPO ARIEL 8% mat. Activa ) ""SOAP CLEAN"" L.P.U. — 5 L",2,908.76,2,Pedido histórico field mock (2025-07-15),true,5493587905250
PF-000003,1009,"SUAVIZANTE PARA ROPA ""SOAP CLEAN""  *CELESTE  *BLANCO *AMARILLO *ROSA *VIOLETA — 5 L",1,1018.16,2,Pedido histórico field mock (2025-07-15),true,5493587905250
PF-000003,5002,CLORO PURO 100% — 5 L,3,1139.64,2,Pedido histórico field mock (2025-07-15),true,5493587905250
PF-000004,1001,"JABON LIQUIDO B/E (TIPO ARIEL 8% mat. Activa ) ""SOAP CLEAN"" L.P.U. — 5 L",3,908.76,2,Pedido histórico field mock (2025-08-05),true,5493587905250
PF-000004,1009,"SUAVIZANTE PARA ROPA ""SOAP CLEAN""  *CELESTE  *BLANCO *AMARILLO *ROSA *VIOLETA — 5 L",1,1018.16,2,Pedido histórico field mock (2025-08-05),true,5493587905250
