pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,6808cd6961f3ad00041a0974,LLAVERO DE CAPIBARA,1,4025.00,2,Pedido histórico field mock (2025-06-05),true,5493435770487
PF-000001,6808d144625daf00047e1cc5,REPASADOR ECONOMICOS,3,1725.00,2,Pedido histórico field mock (2025-06-05),true,5493435770487
PF-000001,6877e397ec07430004761282,FRAZADA PARA BEBE X 2 UNIDADES,3,23000.00,2,Pedido histórico field mock (2025-06-05),true,5493435770487
PF-000001,6877f25f7118860004171422,FRAZADA 1 1/2 PLAZAS TERRENAL,1,21275.00,2,Pedido histórico field mock (2025-06-05),true,5493435770487
PF-000002,6808cd6961f3ad00041a0974,LLAVERO DE CAPIBARA,3,4025.00,2,Pedido histórico field mock (2025-06-17),true,5493435770487
PF-000002,6808d144625daf00047e1cc5,REPASADOR ECONOMICOS,2,1725.00,2,Pedido histórico field mock (2025-06-17),true,5493435770487
PF-000002,68c965555abc0f0004b75c90,TOALLA DE MANO - ART 997,2,3450.00,2,Pedido histórico field mock (2025-06-17),true,5493435770487
PF-000002,69a8391a3191d7000414d6ea,PARAGUA CHICO PARA BOLSO,1,8050.00,2,Pedido histórico field mock (2025-06-17),true,5493435770487
PF-000003,6808cd6961f3ad00041a0974,LLAVERO DE CAPIBARA,1,4025.00,2,Pedido histórico field mock (2025-07-16),true,5493435770487
PF-000003,6808d144625daf00047e1cc5,REPASADOR ECONOMICOS,4,1725.00,2,Pedido histórico field mock (2025-07-16),true,5493435770487
PF-000003,6808d9502f28fc00048686ee,TOALLON PONCHO INFANTIL,2,13225.00,2,Pedido histórico field mock (2025-07-16),true,5493435770487
PF-000004,6808cd6961f3ad00041a0974,LLAVERO DE CAPIBARA,1,4025.00,2,Pedido histórico field mock (2025-08-08),true,5493435770487
PF-000004,6808d144625daf00047e1cc5,REPASADOR ECONOMICOS,4,1725.00,2,Pedido histórico field mock (2025-08-08),true,5493435770487
PF-000004,6808d41bf0bafe000465a255,JUEGO DE SABANAS 2 1/2 PLAZAS,3,14950.00,2,Pedido histórico field mock (2025-08-08),true,5493435770487
PF-000004,6808d63ff3178f000406fa66,MANTEL ECO CUERO 1.40X2.00 M,3,12075.00,2,Pedido histórico field mock (2025-08-08),true,5493435770487
PF-000005,6808cd6961f3ad00041a0974,LLAVERO DE CAPIBARA,3,4025.00,2,Pedido histórico field mock (2025-08-27),true,5493435770487
