client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5493435122056,5493435122056,ai,ai,"Hola Multirubro Baja 41, paso a revisar tu pedido P-00123 de SET NIVEL - TIRA LINEA CON TIZA.","Hola Multirubro Baja 41, paso a revisar tu pedido P-00123 de SET NIVEL - TIRA LINEA CON TIZA.",2026-08-09 10:57:15,true
5493435122056,5493435122056,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-09 10:58:36,true
5493435122056,5493435122056,ai,ai,Te confirmo que el pedido P-00123 fue registrado correctamente por 16100.00.,Te confirmo que el pedido P-00123 fue registrado correctamente por 16100.00.,2026-08-09 10:59:26,true
5493435122056,5493435122056,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-09 11:01:17,true
5493435122056,5493435122056,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-09 11:02:05,true
5493435132938,5493435132938,ai,ai,"Hola Todo Hogar Entre Ríos 43, paso a revisar tu pedido P-00126 de PARAGUAS MINI PLEGABLE UV.","Hola Todo Hogar Entre Ríos 43, paso a revisar tu pedido P-00126 de PARAGUAS MINI PLEGABLE UV.",2026-08-09 09:57:15,true
5493435132938,5493435132938,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-09 09:59:02,true
5493435132938,5493435132938,ai,ai,Te confirmo que el pedido P-00126 fue registrado correctamente por 63750.00.,Te confirmo que el pedido P-00126 fue registrado correctamente por 63750.00.,2026-08-09 09:59:51,true
5493435132938,5493435132938,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-09 10:01:01,true
5493435132938,5493435132938,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-09 10:01:46,true
5493435148050,5493435148050,ai,ai,"Hola Librería Nuevo Día 12, paso a revisar tu pedido P-00034 de TOALLON PLAYEROS.","Hola Librería Nuevo Día 12, paso a revisar tu pedido P-00034 de TOALLON PLAYEROS.",2026-08-07 09:57:15,true
5493435148050,5493435148050,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-07 09:58:06,true
5493435148050,5493435148050,ai,ai,Te confirmo que el pedido P-00034 fue registrado correctamente por 101500.00.,Te confirmo que el pedido P-00034 fue registrado correctamente por 101500.00.,2026-08-07 09:59:05,true
5493435148050,5493435148050,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-07 09:59:55,true
5493435166613,5493435166613,ai,ai,"Hola Emprendimiento Luna 26, paso a revisar tu pedido P-00076 de CUCHILLO TRAMONTINA X 6.","Hola Emprendimiento Luna 26, paso a revisar tu pedido P-00076 de CUCHILLO TRAMONTINA X 6.",2026-08-07 10:57:15,true
5493435166613,5493435166613,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-07 10:58:57,true
5493435166613,5493435166613,ai,ai,Te confirmo que el pedido P-00076 fue registrado correctamente por 52200.00.,Te confirmo que el pedido P-00076 fue registrado correctamente por 52200.00.,2026-08-07 11:00:26,true
5493435166613,5493435166613,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-07 11:01:56,true
5493435174441,5493435174441,ai,ai,"Hola Blanquería Central 42, paso a revisar tu pedido P-00129 de BOTELLA HIELERA.","Hola Blanquería Central 42, paso a revisar tu pedido P-00129 de BOTELLA HIELERA.",2026-08-09 08:57:15,true
5493435174441,5493435174441,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-09 08:59:09,true
5493435174441,5493435174441,ai,ai,Te confirmo que el pedido P-00129 fue registrado correctamente por 89100.00.,Te confirmo que el pedido P-00129 fue registrado correctamente por 89100.00.,2026-08-09 08:59:48,true
5493435174441,5493435174441,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-09 09:00:40,true
5493435174441,5493435174441,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-09 09:01:11,true
5493435191161,5493435191161,ai,ai,"Hola Multirubro Aura 3, vi que tenes un pedido abierto por CARTUCHERA TUBO CAMUFLADO y queria ayudarte a cerrarlo.","Hola Multirubro Aura 3, vi que tenes un pedido abierto por CARTUCHERA TUBO CAMUFLADO y queria ayudarte a cerrarlo.",2026-08-09 10:57:15,true
5493435191161,5493435191161,human,human,"Hola, queria hacer un reclamo por demora en la entrega.","Hola, queria hacer un reclamo por demora en la entrega.",2026-08-09 10:58:29,true
5493435191161,5493435191161,ai,ai,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,2026-08-09 10:59:05,true
5493435191161,5493435191161,human,human,"Dale, quedo atento.","Dale, quedo atento.",2026-08-09 11:00:49,true
5493435191161,5493435191161,ai,ai,Ya quedo registrado. Te aviso apenas tengamos respuesta.,Ya quedo registrado. Te aviso apenas tengamos respuesta.,2026-08-09 11:01:31,true
5493435211579,5493435211579,ai,ai,"Hola Todo Hogar Central 31, paso a revisar tu pedido P-00093 de CINTA AISLADORA X 10 UNIDADES.","Hola Todo Hogar Central 31, paso a revisar tu pedido P-00093 de CINTA AISLADORA X 10 UNIDADES.",2026-08-08 10:57:15,true
5493435211579,5493435211579,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-08 10:58:10,true
5493435211579,5493435211579,ai,ai,Te confirmo que el pedido P-00093 fue registrado correctamente por 15300.00.,Te confirmo que el pedido P-00093 fue registrado correctamente por 15300.00.,2026-08-08 10:58:50,true
5493435211579,5493435211579,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-08 10:59:22,true
5493435217301,5493435217301,ai,ai,"Hola Variedades El Progreso 34, paso a revisar tu pedido P-00102 de PARAGUA CHICO PARA BOLSO.","Hola Variedades El Progreso 34, paso a revisar tu pedido P-00102 de PARAGUA CHICO PARA BOLSO.",2026-08-07 07:57:15,true
5493435217301,5493435217301,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-07 07:58:33,true
5493435217301,5493435217301,ai,ai,Te confirmo que el pedido P-00102 fue registrado correctamente por 75600.00.,Te confirmo que el pedido P-00102 fue registrado correctamente por 75600.00.,2026-08-07 07:59:08,true
5493435217301,5493435217301,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-07 08:00:27,true
5493435246316,5493435246316,ai,ai,"Hola Blanquería La Costanera 2, vi que tenes un pedido abierto por PELUCHE LABUBU GIGANTE y queria ayudarte a cerrarlo.","Hola Blanquería La Costanera 2, vi que tenes un pedido abierto por PELUCHE LABUBU GIGANTE y queria ayudarte a cerrarlo.",2026-08-08 23:57:15,true
5493435246316,5493435246316,human,human,"Hola, queria hacer un reclamo por demora en la entrega.","Hola, queria hacer un reclamo por demora en la entrega.",2026-08-08 23:58:56,true
5493435246316,5493435246316,ai,ai,Gracias por avisarnos. Ya tomo el caso por precio distinto al acordado y lo escalo para revision.,Gracias por avisarnos. Ya tomo el caso por precio distinto al acordado y lo escalo para revision.,2026-08-08 23:59:44,true
5493435246316,5493435246316,human,human,"Dale, quedo atento.","Dale, quedo atento.",2026-08-09 00:01:42,true
5493435246316,5493435246316,ai,ai,Ya quedo registrado. Te aviso apenas tengamos respuesta.,Ya quedo registrado. Te aviso apenas tengamos respuesta.,2026-08-09 00:02:15,true
5493435260265,5493435260265,ai,ai,"Hola Librería Caputto 25, paso a revisar tu pedido P-00073 de PROTECTOR DE BAÑO 50 MICRONES.","Hola Librería Caputto 25, paso a revisar tu pedido P-00073 de PROTECTOR DE BAÑO 50 MICRONES.",2026-08-08 06:57:15,true
5493435260265,5493435260265,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-08 06:59:04,true
5493435260265,5493435260265,ai,ai,Te confirmo que el pedido P-00073 fue registrado correctamente por 73600.00.,Te confirmo que el pedido P-00073 fue registrado correctamente por 73600.00.,2026-08-08 07:00:22,true
5493435260265,5493435260265,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-08 07:01:14,true
5493435279451,5493435279451,ai,ai,"Hola Proveeduría Open 16, paso a revisar tu pedido P-00048 de MOCHILA PREMIUM JANSPORT.","Hola Proveeduría Open 16, paso a revisar tu pedido P-00048 de MOCHILA PREMIUM JANSPORT.",2026-08-07 10:57:15,true
5493435279451,5493435279451,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-07 10:58:11,true
5493435279451,5493435279451,ai,ai,Te confirmo que el pedido P-00048 fue registrado correctamente por 98000.00.,Te confirmo que el pedido P-00048 fue registrado correctamente por 98000.00.,2026-08-07 10:59:30,true
