client_phone,cantidad_mensajes,ultimo_mensaje_at,is_unread,live_feed,is_mock
5493517000001,5,2026-09-01 00:54:50,true,true,true
5493517000002,5,2026-08-31 23:54:02,true,true,true
5493517000003,5,2026-09-01 10:53:35,true,true,true
5493517000004,5,2026-09-01 09:54:18,true,true,true
5493517000005,5,2026-09-01 08:53:59,true,true,true
5493517000006,5,2026-09-01 07:53:11,true,true,true
5493517000041,5,2026-09-01 10:52:59,true,true,true
5493517000042,5,2026-09-01 09:53:59,true,true,true
5493517000043,5,2026-09-01 08:53:40,true,true,true
5493517000044,5,2026-09-01 07:53:04,true,true,true
5493517000007,4,2026-08-31 09:52:58,false,false,true
5493517000008,4,2026-08-30 08:52:06,false,false,true
5493517000009,4,2026-08-31 07:53:01,false,false,true
5493517000010,4,2026-08-30 06:53:23,false,false,true
5493517000011,4,2026-08-31 10:52:17,false,false,true
5493517000012,4,2026-08-30 09:53:07,false,false,true
5493517000013,4,2026-08-31 08:53:06,false,false,true
5493517000014,4,2026-08-30 07:52:57,false,false,true
5493517000015,4,2026-08-31 06:52:29,false,false,true
5493517000016,4,2026-08-30 10:52:55,false,false,true
5493517000017,4,2026-08-31 09:52:39,false,false,true
5493517000018,4,2026-08-30 08:52:33,false,false,true
5493517000019,4,2026-08-31 07:53:39,false,false,true
5493517000020,4,2026-08-30 06:53:01,false,false,true
5493517000021,4,2026-08-31 10:52:44,false,false,true
5493517000022,4,2026-08-30 09:52:47,false,false,true
5493517000023,4,2026-08-31 08:53:40,false,false,true
5493517000024,4,2026-08-30 07:52:56,false,false,true
5493517000025,4,2026-08-31 06:52:55,false,false,true
5493517000026,4,2026-08-30 10:51:56,false,false,true
5493517000027,4,2026-08-31 09:52:51,false,false,true
5493517000028,4,2026-08-30 08:51:28,false,false,true
5493517000029,4,2026-08-31 07:52:28,false,false,true
5493517000030,4,2026-08-30 06:52:54,false,false,true
5493517000031,4,2026-08-31 10:52:36,false,false,true
5493517000032,4,2026-08-30 09:52:09,false,false,true
5493517000033,4,2026-08-31 08:52:40,false,false,true
5493517000034,4,2026-08-30 07:52:47,false,false,true
5493517000035,4,2026-08-31 06:52:35,false,false,true
5493517000036,4,2026-08-30 10:52:25,false,false,true
5493517000037,4,2026-08-31 09:52:52,false,false,true
5493517000038,4,2026-08-30 08:52:56,false,false,true
5493517000039,4,2026-08-31 07:51:47,false,false,true
5493517000040,4,2026-08-30 06:52:39,false,false,true
5493517000045,4,2026-08-31 06:52:25,false,false,true
5493517000046,4,2026-08-30 10:51:35,false,false,true
5493517000047,4,2026-08-31 09:53:11,false,false,true
5493517000048,4,2026-08-30 08:52:50,false,false,true
5493517000049,4,2026-08-31 07:52:13,false,false,true
5493517000050,4,2026-08-30 06:53:51,false,false,true
