pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,549388742104,2025-06-01 09:00:00,confirmado,17066.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,549388742104,2025-06-17 18:32:00,confirmado,44712.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,549388742104,2025-07-17 17:34:00,confirmado,75003.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,549388742104,2025-08-06 18:55:00,confirmado,61778.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,549388742104,2025-08-26 18:33:00,confirmado,80293.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,549388742104,2025-09-14 13:02:00,confirmado,55292.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,549388742104,2025-10-06 11:33:00,confirmado,101706.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,549388742105,2025-06-01 17:37:00,confirmado,51840.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,549388742105,2025-06-25 10:34:00,confirmado,28080.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,549388742105,2025-07-17 15:28:00,confirmado,60390.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,549388742105,2025-07-31 15:21:00,confirmado,50760.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,549388742105,2025-08-22 11:21:00,confirmado,20790.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,549388742105,2025-09-19 17:24:00,confirmado,34290.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,549388742105,2025-10-02 12:05:00,confirmado,47700.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,549388742106,2025-06-02 18:51:00,confirmado,35360.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,549388742106,2025-06-26 15:48:00,confirmado,29410.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,549388742106,2025-07-15 08:20:00,confirmado,53890.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,549388742106,2025-08-07 14:39:00,confirmado,36295.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,549388742106,2025-08-22 14:19:00,confirmado,71485.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,549388742106,2025-09-19 12:11:00,confirmado,20570.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,549388742106,2025-10-02 17:47:00,confirmado,56780.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,549388742107,2025-06-01 11:44:00,confirmado,33700.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,549388742107,2025-06-18 18:08:00,confirmado,36700.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,549388742107,2025-07-18 10:06:00,confirmado,42800.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,549388742107,2025-08-01 08:11:00,confirmado,95000.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,549388742107,2025-08-20 11:37:00,confirmado,84200.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000027,549388742107,2025-09-14 11:37:00,confirmado,30600.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000028,549388742107,2025-10-04 15:00:00,confirmado,58400.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000029,549388742108,2025-06-05 10:36:00,confirmado,78430.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000030,549388742108,2025-06-19 12:56:00,confirmado,108330.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000031,549388742108,2025-07-10 10:39:00,confirmado,94300.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000032,549388742108,2025-08-04 18:36:00,confirmado,28980.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000033,549388742108,2025-08-26 13:26:00,confirmado,51865.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000034,549388742108,2025-09-09 10:28:00,confirmado,77510.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000035,549388742108,2025-10-08 18:27:00,confirmado,43930.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000036,549388742109,2025-06-01 12:25:00,confirmado,59832.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000037,549388742109,2025-06-17 15:52:00,confirmado,71514.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000038,549388742109,2025-07-15 15:08:00,confirmado,88074.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000039,549388742109,2025-08-06 16:19:00,confirmado,44802.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000040,549388742109,2025-08-20 14:33:00,confirmado,13356.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000041,549388742109,2025-09-13 08:41:00,confirmado,66438.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000042,549388742109,2025-10-02 14:33:00,confirmado,43866.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000043,549388742110,2025-06-01 09:34:00,confirmado,58582.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000044,549388742110,2025-06-25 10:45:00,confirmado,25143.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000045,549388742110,2025-07-18 16:46:00,confirmado,59653.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000046,549388742110,2025-08-02 14:00:00,confirmado,24752.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000047,549388742110,2025-08-24 13:46:00,confirmado,54808.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000048,549388742110,2025-09-14 16:06:00,confirmado,25143.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000049,549388742110,2025-10-02 12:54:00,confirmado,29937.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000050,549388742111,2025-06-06 12:55:00,confirmado,31200.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000051,549388742111,2025-06-25 14:53:00,confirmado,38100.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000052,549388742111,2025-07-10 16:19:00,confirmado,47200.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000053,549388742111,2025-07-29 11:42:00,confirmado,63400.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000054,549388742111,2025-08-19 15:49:00,confirmado,66800.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000055,549388742111,2025-09-14 08:56:00,confirmado,39300.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000056,549388742111,2025-10-08 08:28:00,confirmado,66900.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
