pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,CIP-2473,NIVEA ROLLON MEN X 50ML - ACTIVE DRY,3,2080.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00001,5493587905250,25001,CIP-3258,TARJETA AROMATICA - CEREZA MAL,1,5120.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00001,5493587905250,25001,CIP-3338,VASO BEMIS DESCARTABLE BLANCO 300 CC,2,7067.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00002,5493587905250,25001,CIP-0608,LATITA AROMATIZANTES SAPHIRUS - ACQUA,5,4339.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,CIP-1034,SHAMPOO PLUSBELLE ESENCIA DP 300CC - NUTRICION,5,1850.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,CIP-0239,CLIP VULCANO,5,283.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,CIP-1308,BOWL REDONDO BIPO 1.5 LTS - BORRAVINO,1,2640.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00003,5493587905250,25001,CIP-1213,BALDE CENTRIFUGO NOBRE,3,15240.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00004,5493582641213,25002,CIP-1472,CERAMICOL LUSTRAMUEBLES AERO 360 - ORIGINAL,2,5120.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00004,5493582641213,25002,CIP-2023,GOLIATH CEBO EN MICROPELLETS X 200GR,3,2077.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00005,5493582641213,25002,CIP-0605,KIT EMPRENDEDOR SAPHIRUS,1,137470.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00005,5493582641213,25002,CIP-0791,PERFUME TELAS URBAN FRESH - CITRICO,4,2250.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00005,5493582641213,25002,CIP-1205,ASPERSOR PLASTICO BASE NARANJA 3 BRAZOS,5,5570.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00005,5493582641213,25002,CIP-0204,CEPILLO DE DIENTES COLGATE SLIM SOFT CARBON X 2 - SUAVE,1,7210.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00006,5493582641213,25002,CIP-3364,VIM LAVANDINA GEL X 700ML - FLORAL,5,3120.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00006,5493582641213,25002,CIP-0070,AEROSOL SAPHIRUS - LIMON,1,4520.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00007,5492991227644,25003,CIP-0779,PERFUME TELAS SAPHIRUS DISNEY - SPIDER-MAN,3,3150.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00007,5492991227644,25003,CIP-0171,BARRA IONIZADOR VULCANO,1,44934.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00007,5492991227644,25003,CIP-2479,OB TAMPONES X 8 - MINI,3,3610.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00008,5492991227644,25003,CIP-0713,PERFUME TELAS SAPHIRUS - GREEN,5,3150.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00009,5492991227644,25003,CIP-2327,LIMPIA METALES BRASSO,3,4470.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00010,5493418277249,25004,CIP-2476,NUQUIFOL FLORACION X 250CC,3,4700.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00010,5493418277249,25004,CIP-2591,PASTA DENTAL KOLYNOS SUPER BLANCO 70GR,3,1890.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00011,5493418277249,25004,CIP-0725,PERFUME TELAS SAPHIRUS - LIMON DULC,3,3150.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00012,5493418277249,25004,CIP-1951,FLUIDO X 5LT,2,21920.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00012,5493418277249,25004,CIP-3128,SHINY LIMPIADOR LIQUIDO X 250CC - FRUTOS DEL SOL,3,1540.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00012,5493418277249,25004,CIP-2256,KIT HERBAL SAGRADA MADRE - PROTEC SAN,1,448.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00013,5493587747641,25005,CIP-3327,VANISH PRELAVADO OXI GEL POUCH 400CC,3,285.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00013,5493587747641,25005,CIP-1065,VENT STICK X 6GR URBAN FRESH - LIMON,1,1440.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00013,5493587747641,25005,CIP-2974,SAHUMERIOS HEXAGONAL - FRUTILLA,5,570.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00014,5493587747641,25005,CIP-2607,PATO BLOQ. MOCHI 40GR,1,2880.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00014,5493587747641,25005,CIP-0769,PERFUME TELAS SAPHIRUS DISNEY - AVENGERS,2,3150.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00015,5493587747641,25005,CIP-0699,PERFUME TELAS SAPHIRUS - DUE,1,3150.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00015,5493587747641,25005,CIP-2402,MANTEQUERA - MANTECA - OVAL,2,1830.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00015,5493587747641,25005,CIP-0755,PERFUME TELAS SAPHIRUS - SANDALO VIOLETA,3,3150.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00016,5492614053074,25006,CIP-0381,DIFUSOR SAPHIRUS DISNEY - TOY STORY WOODY Y BUZZ,2,4460.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00016,5492614053074,25006,CIP-2197,JABON LIQUIDO PARA DILUIR ZORRO X 500CC - FRAGANCIA DURADERA,2,7370.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00016,5492614053074,25006,CIP-1939,FINISH SAL X 1KG,4,7720.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00016,5492614053074,25006,CIP-1349,CANASTA INODORO VIM 4 EN 1 - CITRUS,4,2156.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00017,5492614053074,25006,CIP-1367,CANASTO / ORGANIZADOR RECTANGULAR RATAN 5.5 LTS - BLANCO,4,4840.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00018,5492614053074,25006,CIP-0228,CIF GEL CON LAVANDINA X 513 GR,3,3210.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00019,5493514079279,25007,CIP-3262,TARJETA AROMATICA - MAGNOL Y V,1,5120.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00019,5493514079279,25007,CIP-3257,TAPON BOTELLA SILICONA DE ANIMALES,2,205.00,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00019,5493514079279,25007,CIP-1890,ESPUMA DE AFEITAR GILLETTE SENSITIVE 175GR,2,6460.00,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00020,5493514079279,25007,CIP-3274,"TIJERA PODA GARDEX - PODAR 8""",4,9210.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00021,5493514079279,25007,CIP-0671,PASTA DENTAL COLGATE TOTAL SALUD VISIBLE X 90GR,1,2051.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
