pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,11803,MR POPS CHUPETIN CEREZA 12X24X18G,4,337.02,1,Pedido histórico field mock (2025-06-02),true,+5491199901
PF-000001,11913,BONOBON LECHE 12X30X15G,3,340.39,1,Pedido histórico field mock (2025-06-02),true,+5491199901
PF-000001,5111,TOPLINE SEVEN STRAWBERRY 36x16x14G,3,482.19,1,Pedido histórico field mock (2025-06-02),true,+5491199901
PF-000002,11803,MR POPS CHUPETIN CEREZA 12X24X18G,2,337.02,1,Pedido histórico field mock (2025-06-21),true,+5491199901
PF-000002,11913,BONOBON LECHE 12X30X15G,2,340.39,1,Pedido histórico field mock (2025-06-21),true,+5491199901
PF-000003,11803,MR POPS CHUPETIN CEREZA 12X24X18G,1,337.02,1,Pedido histórico field mock (2025-07-18),true,+5491199901
PF-000003,11913,BONOBON LECHE 12X30X15G,1,340.39,1,Pedido histórico field mock (2025-07-18),true,+5491199901
PF-000004,11803,MR POPS CHUPETIN CEREZA 12X24X18G,4,337.02,1,Pedido histórico field mock (2025-08-07),true,+5491199901
PF-000004,11913,BONOBON LECHE 12X30X15G,1,340.39,1,Pedido histórico field mock (2025-08-07),true,+5491199901
PF-000004,6140,ALFAJOR BONOBON TRIPLE NEGRO 21X60G,2,290.16,1,Pedido histórico field mock (2025-08-07),true,+5491199901
PF-000005,11803,MR POPS CHUPETIN CEREZA 12X24X18G,4,337.02,1,Pedido histórico field mock (2025-08-27),true,+5491199901
PF-000005,11913,BONOBON LECHE 12X30X15G,2,340.39,1,Pedido histórico field mock (2025-08-27),true,+5491199901
PF-000006,11803,MR POPS CHUPETIN CEREZA 12X24X18G,1,337.02,1,Pedido histórico field mock (2025-09-15),true,+5491199901
PF-000006,11913,BONOBON LECHE 12X30X15G,4,340.39,1,Pedido histórico field mock (2025-09-15),true,+5491199901
PF-000006,5058,MEMBRILLO ARCOR CAJON X5KG,4,466.03,1,Pedido histórico field mock (2025-09-15),true,+5491199901
PF-000006,4013,TURRON OBLEA ARCOR 4X50X27G,1,471.66,1,Pedido histórico field mock (2025-09-15),true,+5491199901
PF-000007,11803,MR POPS CHUPETIN CEREZA 12X24X18G,3,337.02,1,Pedido histórico field mock (2025-10-02),true,+5491199901
PF-000007,11913,BONOBON LECHE 12X30X15G,3,340.39,1,Pedido histórico field mock (2025-10-02),true,+5491199901
PF-000007,3465,OBLEA BON O BON LECHE 8X20X30G,1,250.44,1,Pedido histórico field mock (2025-10-02),true,+5491199901
PF-000008,11913,BONOBON LECHE 12X30X15G,1,340.39,1,Pedido histórico field mock (2025-06-01),true,+5491199902
PF-000008,10129,MENTHO PLUS CHERRY 12X12X29.4G,3,443.33,1,Pedido histórico field mock (2025-06-01),true,+5491199902
PF-000008,6596,ALFAJOR COFLER BLOCK 21X60G,2,444.81,1,Pedido histórico field mock (2025-06-01),true,+5491199902
PF-000008,5058,MEMBRILLO ARCOR CAJON X5KG,3,466.03,1,Pedido histórico field mock (2025-06-01),true,+5491199902
PF-000009,11913,BONOBON LECHE 12X30X15G,3,340.39,1,Pedido histórico field mock (2025-06-19),true,+5491199902
PF-000009,10129,MENTHO PLUS CHERRY 12X12X29.4G,4,443.33,1,Pedido histórico field mock (2025-06-19),true,+5491199902
PF-000010,11913,BONOBON LECHE 12X30X15G,4,340.39,1,Pedido histórico field mock (2025-07-09),true,+5491199902
PF-000010,10129,MENTHO PLUS CHERRY 12X12X29.4G,1,443.33,1,Pedido histórico field mock (2025-07-09),true,+5491199902
PF-000010,6140,ALFAJOR BONOBON TRIPLE NEGRO 21X60G,1,290.16,1,Pedido histórico field mock (2025-07-09),true,+5491199902
PF-000010,5312,COFLER BLOCK 8x20x38G,3,395.30,1,Pedido histórico field mock (2025-07-09),true,+5491199902
PF-000011,11913,BONOBON LECHE 12X30X15G,1,340.39,1,Pedido histórico field mock (2025-08-01),true,+5491199902
PF-000011,10129,MENTHO PLUS CHERRY 12X12X29.4G,2,443.33,1,Pedido histórico field mock (2025-08-01),true,+5491199902
PF-000011,14336,SURTIDO DIVERSION 21x400G,2,105.81,1,Pedido histórico field mock (2025-08-01),true,+5491199902
PF-000012,11913,BONOBON LECHE 12X30X15G,4,340.39,1,Pedido histórico field mock (2025-08-25),true,+5491199902
PF-000012,10129,MENTHO PLUS CHERRY 12X12X29.4G,4,443.33,1,Pedido histórico field mock (2025-08-25),true,+5491199902
PF-000012,3313,ALFAJOR TATIN BLANCO 56X33G,4,330.76,1,Pedido histórico field mock (2025-08-25),true,+5491199902
PF-000012,3312,ALFAJOR TATIN NEGRO 56X33G,1,138.89,1,Pedido histórico field mock (2025-08-25),true,+5491199902
PF-000013,11913,BONOBON LECHE 12X30X15G,2,340.39,1,Pedido histórico field mock (2025-09-16),true,+5491199902
PF-000013,10129,MENTHO PLUS CHERRY 12X12X29.4G,4,443.33,1,Pedido histórico field mock (2025-09-16),true,+5491199902
PF-000014,11913,BONOBON LECHE 12X30X15G,3,340.39,1,Pedido histórico field mock (2025-10-04),true,+5491199902
PF-000014,10129,MENTHO PLUS CHERRY 12X12X29.4G,4,443.33,1,Pedido histórico field mock (2025-10-04),true,+5491199902
PF-000015,11809,MR POPS CHUPETIN BLUEBERRY 12X24X18G,4,342.48,1,Pedido histórico field mock (2025-06-02),true,+5491199903
PF-000015,11913,BONOBON LECHE 12X30X15G,2,340.39,1,Pedido histórico field mock (2025-06-02),true,+5491199903
PF-000016,11809,MR POPS CHUPETIN BLUEBERRY 12X24X18G,3,342.48,1,Pedido histórico field mock (2025-06-24),true,+5491199903
PF-000016,11913,BONOBON LECHE 12X30X15G,2,340.39,1,Pedido histórico field mock (2025-06-24),true,+5491199903
