pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493587905250,2025-06-01 15:11:00,confirmado,11718.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493587905250,2025-06-23 14:04:00,confirmado,10189.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493587905250,2025-07-18 13:04:00,confirmado,11465.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493587905250,2025-07-31 12:00:00,confirmado,13593.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493587905250,2025-08-23 11:43:00,confirmado,18883.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493587905250,2025-09-17 14:12:00,confirmado,15283.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493587905250,2025-10-07 12:58:00,confirmado,9936.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493582641213,2025-06-01 10:37:00,confirmado,4869.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493582641213,2025-06-27 09:40:00,confirmado,24390.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493582641213,2025-07-16 10:29:00,confirmado,9522.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493582641213,2025-08-03 09:15:00,confirmado,49401.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493582641213,2025-08-24 14:34:00,confirmado,29115.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493582641213,2025-09-18 15:09:00,confirmado,2475.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493582641213,2025-10-06 13:12:00,confirmado,39096.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5492991227644,2025-06-06 17:26:00,confirmado,2618.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5492991227644,2025-06-17 12:24:00,confirmado,34221.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5492991227644,2025-07-14 09:22:00,confirmado,46512.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,5492991227644,2025-07-29 10:11:00,confirmado,40196.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,5492991227644,2025-08-28 15:32:00,confirmado,11985.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,5492991227644,2025-09-16 17:52:00,confirmado,7718.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,5492991227644,2025-10-01 17:18:00,confirmado,17892.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,5493418277249,2025-06-02 14:06:00,confirmado,11400.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,5493418277249,2025-06-19 09:21:00,confirmado,56850.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,5493418277249,2025-07-18 10:20:00,confirmado,5890.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,5493418277249,2025-08-03 08:45:00,confirmado,10900.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,5493418277249,2025-08-24 13:19:00,confirmado,61130.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000027,5493418277249,2025-09-17 18:11:00,confirmado,29740.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000028,5493418277249,2025-10-07 13:12:00,confirmado,30080.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000029,5493587747641,2025-06-03 12:24:00,confirmado,9441.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000030,5493587747641,2025-06-17 11:02:00,confirmado,11051.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000031,5493587747641,2025-07-14 09:56:00,confirmado,14030.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000032,5493587747641,2025-08-02 18:56:00,confirmado,29336.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000033,5493587747641,2025-08-21 12:24:00,confirmado,8245.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000034,5493587747641,2025-09-12 17:23:00,confirmado,26714.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000035,5493587747641,2025-10-06 10:48:00,confirmado,20838.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000036,5492614053074,2025-06-06 17:31:00,confirmado,45837.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000037,5492614053074,2025-06-21 11:03:00,confirmado,24849.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000038,5492614053074,2025-07-16 16:31:00,confirmado,4986.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000039,5492614053074,2025-08-01 12:13:00,confirmado,10818.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000040,5492614053074,2025-08-19 17:53:00,confirmado,6777.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000041,5492614053074,2025-09-13 15:53:00,confirmado,6183.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000042,5492614053074,2025-10-10 08:14:00,confirmado,7578.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000043,5493514079279,2025-06-02 18:46:00,confirmado,35530.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000044,5493514079279,2025-06-20 16:30:00,confirmado,18402.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000045,5493514079279,2025-07-09 13:39:00,confirmado,6145.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000046,5493514079279,2025-08-03 17:39:00,confirmado,41811.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000047,5493514079279,2025-08-23 09:17:00,confirmado,3842.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000048,5493514079279,2025-09-13 15:30:00,confirmado,49776.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000049,5493514079279,2025-10-03 08:44:00,confirmado,27004.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000050,5493876914178,2025-06-01 14:51:00,confirmado,18820.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000051,5493876914178,2025-06-19 13:06:00,confirmado,10500.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000052,5493876914178,2025-07-16 17:30:00,confirmado,4170.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
