pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,6,BARRAS DE CEREAL ORIGINAL 15X23 GR,3,13616.00,2,Pedido: 3 1 (normalizado: 69 1; equiv: 3 1),true,false,false
P-00001,5493587905250,25001,10107,MINI BUDINES VAINILLA 1X180GRS GAONA,3,2127.50,2,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00002,5493587905250,25001,10029,TE VERDE HURLINGHAM X25 SAQ. S/S,3,701.50,2,Pedido: 3 1 (normalizado: 75 1; equiv: 3 1),true,false,false
P-00003,5493587905250,25001,10092,SINFONIA THINS 1X50GRS GAONA,2,575.00,2,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00003,5493587905250,25001,10055,CRUNCHIPS POCKET 1X72GRS GAONA,1,644.00,2,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00003,5493587905250,25001,304,POMELO 500ml X12 PLACER,4,9050.50,2,Pedido: 4 1 (normalizado: 48 1; equiv: 4 1),true,false,false
P-00003,5493587905250,25001,310,POMELO 1.5 lts. X6 PLACER,1,8602.00,2,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00004,5493582641213,25002,10116,ANILLO LIMON 1X220GRS GAONA,1,1197.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00004,5493582641213,25002,295,COLA 3 lts. X 6 MANAOS,4,9720.00,3,Pedido: 4 1 (normalizado: 24 1; equiv: 4 1),true,false,false
P-00004,5493582641213,25002,10032,MEZC. HIERBAS HURLINGHAM X25 SAQ. S/S,5,684.00,3,Pedido: 5 1 (normalizado: 125 1; equiv: 5 1),true,false,false
P-00005,5493582641213,25002,10090,SINFONIA LIMON 1X50GRS GAONA,2,450.00,3,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
