client_phone,cantidad_mensajes,ultimo_mensaje_at,is_unread,live_feed,is_mock
5492612928724,5,2026-06-19 12:54:28,true,true,true
5492614053074,5,2026-06-19 09:55:30,true,true,true
5492617236955,5,2026-06-19 11:53:58,true,true,true
5492617413812,5,2026-06-19 10:55:55,true,true,true
5492991227644,5,2026-06-19 12:55:10,true,true,true
5492998066543,5,2026-06-19 09:55:43,true,true,true
5492999435946,5,2026-06-19 08:55:30,true,true,true
5493418277249,5,2026-06-19 11:54:51,true,true,true
5493514079279,5,2026-06-19 08:55:50,true,true,true
5493582641213,5,2026-06-19 01:55:01,true,true,true
5493587747641,5,2026-06-19 10:55:53,true,true,true
5493587905250,5,2026-06-19 02:55:21,true,true,true
5492612780568,4,2026-06-18 10:54:15,false,false,true
5492615021286,4,2026-06-17 10:54:01,false,false,true
5492615139305,4,2026-06-17 12:53:48,false,false,true
5492617175545,4,2026-06-18 09:54:18,false,false,true
5492618861463,4,2026-06-18 11:54:10,false,false,true
5492618889598,4,2026-06-18 11:54:15,false,false,true
5492619239862,4,2026-06-17 11:54:32,false,false,true
5492992500733,4,2026-06-18 08:53:49,false,false,true
5492994145193,4,2026-06-18 08:54:14,false,false,true
5492994228106,4,2026-06-18 11:53:15,false,false,true
5492995028869,4,2026-06-18 09:53:50,false,false,true
5492997489876,4,2026-06-17 08:54:04,false,false,true
5492997670210,4,2026-06-18 10:53:36,false,false,true
5492998718887,4,2026-06-17 10:54:30,false,false,true
5493414799650,4,2026-06-17 09:53:12,false,false,true
5493416524997,4,2026-06-17 12:53:38,false,false,true
5493416986538,4,2026-06-18 12:54:15,false,false,true
5493419686914,4,2026-06-17 08:54:24,false,false,true
5493513952681,4,2026-06-18 10:54:00,false,false,true
5493515971311,4,2026-06-17 12:53:45,false,false,true
5493516216782,4,2026-06-17 11:53:54,false,false,true
5493517304254,4,2026-06-17 08:54:36,false,false,true
5493517632424,4,2026-06-18 11:54:31,false,false,true
5493518648263,4,2026-06-18 12:55:12,false,false,true
5493519107005,4,2026-06-17 10:54:27,false,false,true
5493582132179,4,2026-06-18 12:54:25,false,false,true
5493582639964,4,2026-06-17 09:53:00,false,false,true
5493811657614,4,2026-06-17 09:53:57,false,false,true
5493812941974,4,2026-06-17 10:54:19,false,false,true
5493813520000,4,2026-06-18 09:54:04,false,false,true
5493814729528,4,2026-06-18 08:54:47,false,false,true
5493817404433,4,2026-06-18 09:54:46,false,false,true
5493818437953,4,2026-06-17 08:54:05,false,false,true
5493872845902,4,2026-06-17 11:53:45,false,false,true
5493874104594,4,2026-06-18 09:53:39,false,false,true
5493876499570,4,2026-06-17 08:53:03,false,false,true
5493876914178,4,2026-06-17 10:54:28,false,false,true
5493876922419,4,2026-06-17 12:53:14,false,false,true
