pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,10341,AIREADO COFLER BLANCO 8x10x55G,4,3988.02,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,10340,AIREADO COFLER LECHE 8x10x55G,2,3988.02,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,10374,COFLER BLOCK 24x300G,2,13956.73,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000002,10341,AIREADO COFLER BLANCO 8x10x55G,1,3988.02,2,Pedido histórico field mock (2025-06-19),true,5493587905250
PF-000002,10340,AIREADO COFLER LECHE 8x10x55G,1,3988.02,2,Pedido histórico field mock (2025-06-19),true,5493587905250
PF-000002,10347,AIREADO COFLER ALMENDRAS 4x12x100G,2,6859.05,2,Pedido histórico field mock (2025-06-19),true,5493587905250
PF-000003,10341,AIREADO COFLER BLANCO 8x10x55G,4,3988.02,2,Pedido histórico field mock (2025-07-08),true,5493587905250
PF-000003,10340,AIREADO COFLER LECHE 8x10x55G,3,3988.02,2,Pedido histórico field mock (2025-07-08),true,5493587905250
PF-000003,10352,COFLER ROCKLETS LECHE 12x10x55G,1,3588.54,2,Pedido histórico field mock (2025-07-08),true,5493587905250
PF-000004,10341,AIREADO COFLER BLANCO 8x10x55G,4,3988.02,2,Pedido histórico field mock (2025-08-07),true,5493587905250
PF-000004,10340,AIREADO COFLER LECHE 8x10x55G,4,3988.02,2,Pedido histórico field mock (2025-08-07),true,5493587905250
PF-000004,10353,COFLER BLANCO CHOCOLINAS 12x10x55G,3,3588.54,2,Pedido histórico field mock (2025-08-07),true,5493587905250
PF-000004,10600,BEBIDA BC MULTIFRUTA 12x1L,4,2380.93,2,Pedido histórico field mock (2025-08-07),true,5493587905250
PF-000005,10341,AIREADO COFLER BLANCO 8x10x55G,3,3988.02,2,Pedido histórico field mock (2025-08-27),true,5493587905250
PF-000005,10340,AIREADO COFLER LECHE 8x10x55G,4,3988.02,2,Pedido histórico field mock (2025-08-27),true,5493587905250
PF-000005,10582,AGUILA TAZA FAMILIAR 6X12X225G,3,10700.23,2,Pedido histórico field mock (2025-08-27),true,5493587905250
PF-000005,10347,AIREADO COFLER ALMENDRAS 4x12x100G,2,6859.05,2,Pedido histórico field mock (2025-08-27),true,5493587905250
PF-000006,10341,AIREADO COFLER BLANCO 8x10x55G,4,3988.02,2,Pedido histórico field mock (2025-09-13),true,5493587905250
PF-000006,10340,AIREADO COFLER LECHE 8x10x55G,4,3988.02,2,Pedido histórico field mock (2025-09-13),true,5493587905250
PF-000007,10341,AIREADO COFLER BLANCO 8x10x55G,2,3988.02,2,Pedido histórico field mock (2025-10-03),true,5493587905250
PF-000007,10340,AIREADO COFLER LECHE 8x10x55G,3,3988.02,2,Pedido histórico field mock (2025-10-03),true,5493587905250
PF-000007,10346,AIREADO COFLER MIXTO 4x12x100G,1,6859.05,2,Pedido histórico field mock (2025-10-03),true,5493587905250
PF-000007,10353,COFLER BLANCO CHOCOLINAS 12x10x55G,3,3588.54,2,Pedido histórico field mock (2025-10-03),true,5493587905250
PF-000008,10336,AIREADO COFLER LECHE 8x20x27G,3,1622.98,3,Pedido histórico field mock (2025-06-02),true,5493582641213
PF-000008,10340,AIREADO COFLER LECHE 8x10x55G,2,3121.06,3,Pedido histórico field mock (2025-06-02),true,5493582641213
PF-000009,10336,AIREADO COFLER LECHE 8x20x27G,2,1622.98,3,Pedido histórico field mock (2025-06-23),true,5493582641213
PF-000009,10340,AIREADO COFLER LECHE 8x10x55G,1,3121.06,3,Pedido histórico field mock (2025-06-23),true,5493582641213
PF-000010,10336,AIREADO COFLER LECHE 8x20x27G,2,1622.98,3,Pedido histórico field mock (2025-07-16),true,5493582641213
PF-000010,10340,AIREADO COFLER LECHE 8x10x55G,2,3121.06,3,Pedido histórico field mock (2025-07-16),true,5493582641213
PF-000010,10343,AIREADO COFLER ALMENDRAS 8x10x55G,2,3121.06,3,Pedido histórico field mock (2025-07-16),true,5493582641213
PF-000010,10348,COFLER LECHE 12x10x55G,4,2808.42,3,Pedido histórico field mock (2025-07-16),true,5493582641213
PF-000011,10336,AIREADO COFLER LECHE 8x20x27G,4,1622.98,3,Pedido histórico field mock (2025-08-03),true,5493582641213
PF-000011,10340,AIREADO COFLER LECHE 8x10x55G,3,3121.06,3,Pedido histórico field mock (2025-08-03),true,5493582641213
PF-000011,10346,AIREADO COFLER MIXTO 4x12x100G,1,5367.95,3,Pedido histórico field mock (2025-08-03),true,5493582641213
PF-000011,10603,BEBIDA BC NARANJA 12x1L,2,1863.34,3,Pedido histórico field mock (2025-08-03),true,5493582641213
PF-000012,10336,AIREADO COFLER LECHE 8x20x27G,1,1622.98,3,Pedido histórico field mock (2025-08-24),true,5493582641213
PF-000012,10340,AIREADO COFLER LECHE 8x10x55G,4,3121.06,3,Pedido histórico field mock (2025-08-24),true,5493582641213
PF-000012,10346,AIREADO COFLER MIXTO 4x12x100G,1,5367.95,3,Pedido histórico field mock (2025-08-24),true,5493582641213
PF-000013,10336,AIREADO COFLER LECHE 8x20x27G,3,1622.98,3,Pedido histórico field mock (2025-09-09),true,5493582641213
PF-000013,10340,AIREADO COFLER LECHE 8x10x55G,4,3121.06,3,Pedido histórico field mock (2025-09-09),true,5493582641213
PF-000013,10582,AGUILA TAZA FAMILIAR 6X12X225G,2,8374.09,3,Pedido histórico field mock (2025-09-09),true,5493582641213
PF-000014,10336,AIREADO COFLER LECHE 8x20x27G,2,1622.98,3,Pedido histórico field mock (2025-10-08),true,5493582641213
PF-000014,10340,AIREADO COFLER LECHE 8x10x55G,1,3121.06,3,Pedido histórico field mock (2025-10-08),true,5493582641213
PF-000014,10604,BEBIDA BC MANZANA 12x1L,1,1863.34,3,Pedido histórico field mock (2025-10-08),true,5493582641213
PF-000014,10350,COFLER ALMENDRAS 12x10x55G,1,2808.42,3,Pedido histórico field mock (2025-10-08),true,5493582641213
PF-000015,10338,AIREADO COFLER MIXTO 8x20x27G,2,1532.81,4,Pedido histórico field mock (2025-06-03),true,5492991227644
PF-000015,10340,AIREADO COFLER LECHE 8x10x55G,3,2947.67,4,Pedido histórico field mock (2025-06-03),true,5492991227644
PF-000015,10343,AIREADO COFLER ALMENDRAS 8x10x55G,4,2947.67,4,Pedido histórico field mock (2025-06-03),true,5492991227644
PF-000015,10604,BEBIDA BC MANZANA 12x1L,1,1759.82,4,Pedido histórico field mock (2025-06-03),true,5492991227644
PF-000016,10338,AIREADO COFLER MIXTO 8x20x27G,2,1532.81,4,Pedido histórico field mock (2025-06-19),true,5492991227644
PF-000016,10340,AIREADO COFLER LECHE 8x10x55G,3,2947.67,4,Pedido histórico field mock (2025-06-19),true,5492991227644
PF-000017,10338,AIREADO COFLER MIXTO 8x20x27G,3,1532.81,4,Pedido histórico field mock (2025-07-12),true,5492991227644
PF-000017,10340,AIREADO COFLER LECHE 8x10x55G,1,2947.67,4,Pedido histórico field mock (2025-07-12),true,5492991227644
PF-000017,10604,BEBIDA BC MANZANA 12x1L,3,1759.82,4,Pedido histórico field mock (2025-07-12),true,5492991227644
PF-000018,10338,AIREADO COFLER MIXTO 8x20x27G,3,1532.81,4,Pedido histórico field mock (2025-08-02),true,5492991227644
PF-000018,10340,AIREADO COFLER LECHE 8x10x55G,4,2947.67,4,Pedido histórico field mock (2025-08-02),true,5492991227644
PF-000019,10338,AIREADO COFLER MIXTO 8x20x27G,3,1532.81,4,Pedido histórico field mock (2025-08-20),true,5492991227644
PF-000019,10340,AIREADO COFLER LECHE 8x10x55G,1,2947.67,4,Pedido histórico field mock (2025-08-20),true,5492991227644
