pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493587905250,2025-06-01 09:54:00,confirmado,28212.81,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493587905250,2025-06-19 18:09:00,confirmado,25587.46,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493587905250,2025-07-09 15:11:00,confirmado,21891.53,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493587905250,2025-08-01 15:08:00,confirmado,24658.08,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493587905250,2025-08-29 09:28:00,confirmado,40681.37,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493587905250,2025-09-09 12:19:00,confirmado,27925.44,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493587905250,2025-09-30 08:59:00,confirmado,66230.78,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493582641213,2025-06-01 18:30:00,confirmado,20480.91,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493582641213,2025-06-20 16:12:00,confirmado,22207.86,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493582641213,2025-07-12 14:09:00,confirmado,16027.83,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493582641213,2025-08-02 14:09:00,confirmado,10917.91,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493582641213,2025-08-21 14:23:00,confirmado,24170.38,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493582641213,2025-09-10 10:21:00,confirmado,18582.79,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493582641213,2025-09-30 18:02:00,confirmado,17700.42,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5492991227644,2025-06-01 18:59:00,confirmado,41105.22,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5492991227644,2025-06-19 16:09:00,confirmado,56790.52,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5492991227644,2025-07-08 11:46:00,confirmado,61127.97,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,5492991227644,2025-08-02 13:38:00,confirmado,107019.13,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,5492991227644,2025-08-19 13:26:00,confirmado,21978.37,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,5492991227644,2025-09-13 16:13:00,confirmado,70452.93,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,5492991227644,2025-10-01 16:25:00,confirmado,47596.59,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,5493418277249,2025-06-01 16:25:00,confirmado,98523.17,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,5493418277249,2025-06-27 15:25:00,confirmado,20345.25,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,5493418277249,2025-07-13 12:07:00,confirmado,53006.51,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,5493418277249,2025-07-29 11:43:00,confirmado,13917.55,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,5493418277249,2025-08-26 11:42:00,confirmado,27353.98,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000027,5493418277249,2025-09-10 09:19:00,confirmado,44800.20,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000028,5493418277249,2025-09-30 12:34:00,confirmado,38970.37,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000029,5493587747641,2025-06-02 15:57:00,confirmado,50772.80,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000030,5493587747641,2025-06-24 09:35:00,confirmado,14608.43,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000031,5493587747641,2025-07-12 15:28:00,confirmado,37071.94,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000032,5493587747641,2025-07-30 13:38:00,confirmado,21430.74,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000033,5493587747641,2025-08-22 13:10:00,confirmado,15078.12,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000034,5493587747641,2025-09-16 15:27:00,confirmado,14515.71,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000035,5493587747641,2025-10-04 15:13:00,confirmado,16336.15,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000036,5492614053074,2025-06-03 15:42:00,confirmado,14523.51,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000037,5492614053074,2025-06-20 15:23:00,confirmado,35222.76,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000038,5492614053074,2025-07-10 14:49:00,confirmado,22804.92,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000039,5492614053074,2025-08-07 14:56:00,confirmado,31727.22,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000040,5492614053074,2025-08-22 18:05:00,confirmado,24284.43,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000041,5492614053074,2025-09-19 08:44:00,confirmado,44575.72,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000042,5492614053074,2025-10-07 08:28:00,confirmado,81094.44,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000043,5493514079279,2025-06-04 09:39:00,confirmado,47916.47,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000044,5493514079279,2025-06-20 13:54:00,confirmado,28972.14,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000045,5493514079279,2025-07-12 13:21:00,confirmado,12307.81,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000046,5493514079279,2025-08-08 15:57:00,confirmado,41131.61,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000047,5493514079279,2025-08-26 09:39:00,confirmado,44757.13,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000048,5493514079279,2025-09-11 13:10:00,confirmado,27669.24,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000049,5493514079279,2025-10-08 17:30:00,confirmado,21355.64,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000050,5493876914178,2025-06-03 09:28:00,confirmado,32782.98,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000051,5493876914178,2025-06-21 13:25:00,confirmado,37799.59,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000052,5493876914178,2025-07-09 13:04:00,confirmado,66924.06,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000053,5493876914178,2025-07-31 17:42:00,confirmado,17131.40,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000054,5493876914178,2025-08-22 10:58:00,confirmado,65062.75,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000055,5493876914178,2025-09-12 15:15:00,confirmado,41752.65,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000056,5493876914178,2025-10-10 14:40:00,confirmado,41752.65,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000057,5492617175545,2025-06-04 12:43:00,confirmado,94081.53,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000058,5492617175545,2025-06-18 17:01:00,confirmado,21619.62,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000059,5492617175545,2025-07-18 14:49:00,confirmado,20926.11,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000060,5492617175545,2025-07-30 16:35:00,confirmado,46018.47,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000061,5492617175545,2025-08-25 14:34:00,confirmado,21619.62,Pedido histórico field mock,true,false,fase-06-1-field-backbone
