pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,1,Pepinillos Agridulces 330 G GULLO,4,5401.87,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,12684,Salsa Soja VANOLI 1000cc PET,1,3695.93,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,656,Aceituna Verde Desc. VANOLI 150g,2,1454.70,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000002,1,Pepinillos Agridulces 330 G GULLO,2,5401.87,2,Pedido histórico field mock (2025-06-19),true,5493587905250
PF-000002,12684,Salsa Soja VANOLI 1000cc PET,4,3695.93,2,Pedido histórico field mock (2025-06-19),true,5493587905250
PF-000003,1,Pepinillos Agridulces 330 G GULLO,2,5401.87,2,Pedido histórico field mock (2025-07-09),true,5493587905250
PF-000003,12684,Salsa Soja VANOLI 1000cc PET,3,3695.93,2,Pedido histórico field mock (2025-07-09),true,5493587905250
PF-000004,1,Pepinillos Agridulces 330 G GULLO,2,5401.87,2,Pedido histórico field mock (2025-08-01),true,5493587905250
PF-000004,12684,Salsa Soja VANOLI 1000cc PET,3,3695.93,2,Pedido histórico field mock (2025-08-01),true,5493587905250
PF-000004,286,Pan Multicereal CORMILLOT 410 G,1,2766.55,2,Pedido histórico field mock (2025-08-01),true,5493587905250
PF-000005,1,Pepinillos Agridulces 330 G GULLO,4,5401.87,2,Pedido histórico field mock (2025-08-29),true,5493587905250
PF-000005,12684,Salsa Soja VANOLI 1000cc PET,3,3695.93,2,Pedido histórico field mock (2025-08-29),true,5493587905250
PF-000005,15195,Yogur Bebible Cremigal Banana 900g,4,1667.50,2,Pedido histórico field mock (2025-08-29),true,5493587905250
PF-000005,925,Pesto 25g CENTURION,2,658.05,2,Pedido histórico field mock (2025-08-29),true,5493587905250
PF-000006,1,Pepinillos Agridulces 330 G GULLO,2,5401.87,2,Pedido histórico field mock (2025-09-09),true,5493587905250
PF-000006,12684,Salsa Soja VANOLI 1000cc PET,2,3695.93,2,Pedido histórico field mock (2025-09-09),true,5493587905250
PF-000006,15195,Yogur Bebible Cremigal Banana 900g,4,1667.50,2,Pedido histórico field mock (2025-09-09),true,5493587905250
PF-000006,10659,Pickle Mixto VANOLI Frasco 330g,1,3059.84,2,Pedido histórico field mock (2025-09-09),true,5493587905250
PF-000007,1,Pepinillos Agridulces 330 G GULLO,2,5401.87,2,Pedido histórico field mock (2025-09-30),true,5493587905250
PF-000007,12684,Salsa Soja VANOLI 1000cc PET,1,3695.93,2,Pedido histórico field mock (2025-09-30),true,5493587905250
PF-000007,310,Queso Reggianito Cremigal x Kg,3,16321.52,2,Pedido histórico field mock (2025-09-30),true,5493587905250
PF-000007,286,Pan Multicereal CORMILLOT 410 G,1,2766.55,2,Pedido histórico field mock (2025-09-30),true,5493587905250
PF-000008,1,Pepinillos Agridulces 330 G GULLO,3,4227.55,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000008,1514,Bizcochuelo Vainilla Chip Emeth 450G,2,1672.59,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000008,914,Nuez Moscada Grano CENTURION,4,1113.27,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000009,1,Pepinillos Agridulces 330 G GULLO,2,4227.55,3,Pedido histórico field mock (2025-06-20),true,5493582641213
PF-000009,1514,Bizcochuelo Vainilla Chip Emeth 450G,4,1672.59,3,Pedido histórico field mock (2025-06-20),true,5493582641213
PF-000009,10273,Mermelada EMETH Pote CIRUELA 500G,2,921.20,3,Pedido histórico field mock (2025-06-20),true,5493582641213
PF-000009,15195,Yogur Bebible Cremigal Banana 900g,4,1305.00,3,Pedido histórico field mock (2025-06-20),true,5493582641213
PF-000010,1,Pepinillos Agridulces 330 G GULLO,3,4227.55,3,Pedido histórico field mock (2025-07-12),true,5493582641213
PF-000010,1514,Bizcochuelo Vainilla Chip Emeth 450G,2,1672.59,3,Pedido histórico field mock (2025-07-12),true,5493582641213
PF-000011,1,Pepinillos Agridulces 330 G GULLO,1,4227.55,3,Pedido histórico field mock (2025-08-02),true,5493582641213
PF-000011,1514,Bizcochuelo Vainilla Chip Emeth 450G,4,1672.59,3,Pedido histórico field mock (2025-08-02),true,5493582641213
PF-000012,1,Pepinillos Agridulces 330 G GULLO,4,4227.55,3,Pedido histórico field mock (2025-08-21),true,5493582641213
PF-000012,1514,Bizcochuelo Vainilla Chip Emeth 450G,2,1672.59,3,Pedido histórico field mock (2025-08-21),true,5493582641213
PF-000012,15195,Yogur Bebible Cremigal Banana 900g,3,1305.00,3,Pedido histórico field mock (2025-08-21),true,5493582641213
PF-000013,1,Pepinillos Agridulces 330 G GULLO,4,4227.55,3,Pedido histórico field mock (2025-09-10),true,5493582641213
PF-000013,1514,Bizcochuelo Vainilla Chip Emeth 450G,1,1672.59,3,Pedido histórico field mock (2025-09-10),true,5493582641213
PF-000014,1,Pepinillos Agridulces 330 G GULLO,3,4227.55,3,Pedido histórico field mock (2025-09-30),true,5493582641213
PF-000014,1514,Bizcochuelo Vainilla Chip Emeth 450G,3,1672.59,3,Pedido histórico field mock (2025-09-30),true,5493582641213
PF-000015,10218,Aceitunas Rebanadas PET1500g GULLO,4,9098.15,4,Pedido histórico field mock (2025-06-01),true,5492991227644
PF-000015,11309,Tostadas SIN SAL CORMILLOT 200G,2,1333.89,4,Pedido histórico field mock (2025-06-01),true,5492991227644
PF-000015,286,Pan Multicereal CORMILLOT 410 G,1,2044.84,4,Pedido histórico field mock (2025-06-01),true,5492991227644
PF-000016,10218,Aceitunas Rebanadas PET1500g GULLO,4,9098.15,4,Pedido histórico field mock (2025-06-19),true,5492991227644
PF-000016,11309,Tostadas SIN SAL CORMILLOT 200G,4,1333.89,4,Pedido histórico field mock (2025-06-19),true,5492991227644
PF-000016,1790,Mermelada S/AZUCAR Frambuesa CORMILLOT 390G,4,3765.59,4,Pedido histórico field mock (2025-06-19),true,5492991227644
PF-000017,10218,Aceitunas Rebanadas PET1500g GULLO,2,9098.15,4,Pedido histórico field mock (2025-07-08),true,5492991227644
PF-000017,11309,Tostadas SIN SAL CORMILLOT 200G,3,1333.89,4,Pedido histórico field mock (2025-07-08),true,5492991227644
PF-000017,10113,Paleta Especial Fox Oval,3,7990.00,4,Pedido histórico field mock (2025-07-08),true,5492991227644
PF-000017,10169,Salame Milan Fox Crespon,1,14960.00,4,Pedido histórico field mock (2025-07-08),true,5492991227644
PF-000018,10218,Aceitunas Rebanadas PET1500g GULLO,4,9098.15,4,Pedido histórico field mock (2025-08-02),true,5492991227644
PF-000018,11309,Tostadas SIN SAL CORMILLOT 200G,3,1333.89,4,Pedido histórico field mock (2025-08-02),true,5492991227644
PF-000018,10659,Pickle Mixto VANOLI Frasco 330g,3,2261.62,4,Pedido histórico field mock (2025-08-02),true,5492991227644
PF-000018,10169,Salame Milan Fox Crespon,4,14960.00,4,Pedido histórico field mock (2025-08-02),true,5492991227644
PF-000019,10218,Aceitunas Rebanadas PET1500g GULLO,2,9098.15,4,Pedido histórico field mock (2025-08-19),true,5492991227644
PF-000019,11309,Tostadas SIN SAL CORMILLOT 200G,2,1333.89,4,Pedido histórico field mock (2025-08-19),true,5492991227644
PF-000019,44,Dulce de Leche Cremigal Familiar 250 G,1,1114.29,4,Pedido histórico field mock (2025-08-19),true,5492991227644
PF-000020,10218,Aceitunas Rebanadas PET1500g GULLO,2,9098.15,4,Pedido histórico field mock (2025-09-13),true,5492991227644
