pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,BEL-ALM-001,Arroz 2 Hermanos x 5kg,2,8775.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00001,5493587905250,25001,BEL-QUE-011,Romano Unión,1,9840.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00001,5493587905250,25001,BEL-CON-009,Morrón Finca de Santiago,1,4086.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00002,5493587905250,25001,BEL-ACE-015,Mayonesa Dánica Individual,5,8313.60,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,BEL-CON-006,Cóctel de Frutas x 820gr,3,3960.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00002,5493587905250,25001,BEL-FIA-006,Jamonada La Tirolesa,5,4560.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,BEL-QUE-012,Sardo Oro,3,15000.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00003,5493587905250,25001,BEL-FIA-004,Jamón Cocido Tacural,4,11176.80,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00003,5493587905250,25001,BEL-FIA-003,Jamón Cocido La Tirolesa,2,7398.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00003,5493587905250,25001,BEL-FIA-009,Salame Natural Pig x Unidad,2,3900.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00004,5493582641213,25002,BEL-ACE-003,Aceituna Negra Fileteada x 5kg,5,24000.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00004,5493582641213,25002,BEL-FIA-003,Jamón Cocido La Tirolesa,4,7398.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00005,5493582641213,25002,BEL-FIA-002,Jamón Cocido El Colonial,1,9024.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00006,5493582641213,25002,BEL-ACE-006,Aceituna Verde N° 0 x 5kg,5,24000.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00006,5493582641213,25002,BEL-QUE-009,Pategrás Unión,2,10200.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00006,5493582641213,25002,BEL-QUE-005,Cheddar Pouch Spalen,4,16111.20,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00006,5493582641213,25002,BEL-QUE-006,Cremoso La Paulina,4,8364.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00007,5492991227644,25003,BEL-CON-005,Choclo Granos Amarillos x 3kg,3,13920.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00008,5492991227644,25003,BEL-QUE-007,Gruyere Oro,1,29604.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00009,5492991227644,25003,BEL-LAC-002,Crema La Paulina x 5kg,3,43284.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00009,5492991227644,25003,BEL-CON-008,Lomito de Atún,5,3450.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00009,5492991227644,25003,BEL-ALM-001,Arroz 2 Hermanos x 5kg,4,8775.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00009,5492991227644,25003,BEL-DUL-001,Pionono,1,2160.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00010,5493418277249,25004,BEL-CON-002,Caja Puré Triturado 520gr x 16,5,9072.00,1,Pedido: 5 unidad (normalizado: 80 unidad; equiv: 5 unidad),true,false,false
P-00010,5493418277249,25004,BEL-QUE-005,Cheddar Pouch Spalen,1,16111.20,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00010,5493418277249,25004,BEL-ACE-019,Vinagre x 5lt,2,7620.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00011,5493418277249,25004,BEL-LAC-001,Crema Doble Crema La Paulina x 5kg,3,49321.20,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00012,5493418277249,25004,BEL-FIA-003,Jamón Cocido La Tirolesa,1,7398.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00012,5493418277249,25004,BEL-LAC-002,Crema La Paulina x 5kg,3,43284.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00012,5493418277249,25004,BEL-CON-010,Pulpa de Frutilla Emalubi x 1kg,2,4320.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00013,5493587747641,25005,BEL-CON-011,Tomate Triturado 4 x 2kg,4,7176.00,2,Pedido: 4 unidad (normalizado: 16 unidad; equiv: 4 unidad),true,false,false
P-00013,5493587747641,25005,BEL-ACE-007,Aceituna Verde N° 2 x 5kg,3,19800.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00013,5493587747641,25005,BEL-FIA-005,Jamón Crudo Tacural,1,20640.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00014,5493587747641,25005,BEL-QUE-007,Gruyere Oro,5,29604.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00014,5493587747641,25005,BEL-ACE-005,Aceituna Verde Fileteada x 5kg,1,22200.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00015,5493587747641,25005,BEL-BEB-001,Jugo de Naranja 5lt,2,22950.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00015,5493587747641,25005,BEL-ALM-002,Azúcar x 10kg,2,16807.50,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00015,5493587747641,25005,BEL-QUE-011,Romano Unión,2,9840.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00016,5492614053074,25006,BEL-ALM-002,Azúcar x 10kg,2,16807.50,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00016,5492614053074,25006,BEL-ACE-006,Aceituna Verde N° 0 x 5kg,5,24000.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00016,5492614053074,25006,BEL-BEB-001,Jugo de Naranja 5lt,5,22950.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00016,5492614053074,25006,BEL-CON-004,Choclo en Grano x 800gr,3,3720.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00017,5492614053074,25006,BEL-CON-012,Tomate Triturado Lata 8kg,5,7440.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00017,5492614053074,25006,BEL-QUE-002,Cheddar Barra Spalen,5,8550.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00018,5492614053074,25006,BEL-BEB-001,Jugo de Naranja 5lt,4,22950.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00018,5492614053074,25006,BEL-LAC-003,Leche Cotapa Entera x 12lt,5,20160.00,3,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00018,5492614053074,25006,BEL-FIA-008,Salame Milán Natural Pig,3,8244.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00018,5492614053074,25006,BEL-CON-009,Morrón Finca de Santiago,3,4086.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00019,5493514079279,25007,BEL-QUE-002,Cheddar Barra Spalen,1,8550.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00019,5493514079279,25007,BEL-ACE-012,Kétchup Dánica Individual,2,8692.80,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00020,5493514079279,25007,BEL-ACE-012,Kétchup Dánica Individual,2,8692.80,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00020,5493514079279,25007,BEL-QUE-001,Azul Sancarlina,2,13884.00,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00021,5493514079279,25007,BEL-QUE-004,Cheddar Pouch La Paulina,3,28440.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00021,5493514079279,25007,BEL-ACE-002,Aceite x 10lt,3,26400.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00022,5493876914178,25008,BEL-CON-002,Caja Puré Triturado 520gr x 16,2,9072.00,1,Pedido: 2 unidad (normalizado: 32 unidad; equiv: 2 unidad),true,false,false
P-00022,5493876914178,25008,BEL-CON-004,Choclo en Grano x 800gr,3,3720.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00022,5493876914178,25008,BEL-ACE-004,Aceituna Negra N° 2 x 5kg,5,23400.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00023,5493876914178,25008,BEL-QUE-007,Gruyere Oro,1,29604.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00024,5493876914178,25008,BEL-ACE-010,Aceituna Verde N° 3 x 5kg,1,13800.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00024,5493876914178,25008,BEL-ACE-015,Mayonesa Dánica Individual,4,8313.60,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00024,5493876914178,25008,BEL-ACE-013,Mayodan x 3kg,2,5846.40,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00025,5492617175545,25009,BEL-ACE-003,Aceituna Negra Fileteada x 5kg,3,24000.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00025,5492617175545,25009,BEL-FIA-009,Salame Natural Pig x Unidad,2,3900.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00026,5492617175545,25009,BEL-QUE-001,Azul Sancarlina,5,13884.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00026,5492617175545,25009,BEL-ALM-004,Sal Fina Celusal 500gr,3,1200.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00026,5492617175545,25009,BEL-QUE-002,Cheddar Barra Spalen,2,8550.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00026,5492617175545,25009,BEL-BEB-001,Jugo de Naranja 5lt,3,22950.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00027,5492617175545,25009,BEL-QUE-008,Muzzarella Unión,2,8760.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00027,5492617175545,25009,BEL-CON-008,Lomito de Atún,3,3450.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00028,5493818437953,25010,BEL-FIA-005,Jamón Crudo Tacural,4,20640.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00028,5493818437953,25010,BEL-QUE-005,Cheddar Pouch Spalen,1,16111.20,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00029,5493818437953,25010,BEL-QUE-005,Cheddar Pouch Spalen,5,16111.20,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
