client_phone,cantidad_mensajes,ultimo_mensaje_at,is_unread,live_feed,is_mock
549351500101,4,2026-06-16T10:45:23.992177,true,true,true
549351500102,4,2026-06-16T10:30:23.992177,true,true,true
549351500103,4,2026-06-16T08:59:23.992177,true,true,true
549351500104,4,2026-06-16T08:22:23.992177,true,true,true
549351500105,4,2026-06-16T07:32:23.992177,true,true,true
549351500106,4,2026-06-16T06:20:23.992177,true,true,true
549351500107,4,2026-06-16T04:46:23.992177,true,true,true
549351500108,4,2026-06-16T04:10:23.992177,true,true,true
549351500109,4,2026-06-16T02:39:23.992177,true,true,true
549351500110,4,2026-06-16T02:10:23.992177,true,true,true
549351500111,4,2026-06-16T00:49:23.992177,true,true,true
549351500112,4,2026-06-15T23:40:23.992177,true,true,true
549351500113,4,2026-06-15T11:14:23.992177,false,false,true
549351500114,4,2026-06-15T10:32:23.992177,false,false,true
549351500115,4,2026-06-15T09:15:23.992177,false,false,true
549351500116,4,2026-06-15T07:34:23.992177,false,false,true
549351500117,4,2026-06-15T07:05:23.992177,false,false,true
549351500118,4,2026-06-15T06:13:23.992177,false,false,true
549351500119,4,2026-06-15T05:24:23.992177,false,false,true
549351500120,4,2026-06-15T03:39:23.992177,false,false,true
549351500121,4,2026-06-15T02:51:23.992177,false,false,true
549351500122,4,2026-06-15T02:32:23.992177,false,false,true
549351500123,4,2026-06-15T00:57:23.992177,false,false,true
549351500124,4,2026-06-15T00:05:23.992177,false,false,true
549351500125,4,2026-06-15T11:24:23.992177,false,false,true
549351500126,4,2026-06-15T10:19:23.992177,false,false,true
549351500127,4,2026-06-15T08:47:23.992177,false,false,true
549351500128,4,2026-06-15T07:36:23.992177,false,false,true
549351500129,4,2026-06-15T07:31:23.992177,false,false,true
549351500130,4,2026-06-15T06:09:23.992177,false,false,true
549351500131,4,2026-06-15T04:35:23.992177,false,false,true
549351500132,4,2026-06-15T04:23:23.992177,false,false,true
549351500133,4,2026-06-15T02:44:23.992177,false,false,true
549351500134,4,2026-06-15T02:12:23.992177,false,false,true
549351500135,4,2026-06-15T01:08:23.992177,false,false,true
549351500136,4,2026-06-15T00:18:23.992177,false,false,true
549351500137,4,2026-06-15T11:13:23.992177,false,false,true
549351500138,4,2026-06-15T10:06:23.992177,false,false,true
549351500139,4,2026-06-15T08:47:23.992177,false,false,true
549351500140,4,2026-06-15T08:32:23.992177,false,false,true
549351500141,4,2026-06-15T07:18:23.992177,false,false,true
549351500142,4,2026-06-15T05:56:23.992177,false,false,true
549351500143,4,2026-06-15T04:43:23.992177,false,false,true
549351500144,4,2026-06-15T04:00:23.992177,false,false,true
549351500145,4,2026-06-15T03:18:23.992177,false,false,true
549351500146,4,2026-06-15T01:44:23.992177,false,false,true
549351500147,4,2026-06-15T01:01:23.992177,false,false,true
549351500148,4,2026-06-15T00:07:23.992177,false,false,true
549351500149,4,2026-06-15T11:08:23.992177,false,false,true
549351500150,4,2026-06-15T09:34:23.992177,false,false,true
