cliente_codigo,razon_social,nombre,phone_number,zona_codigo,vendedor_codigo,lat,lng,lista_precios_id,is_mock
1001,Almacén Don Mario,Juan Pérez,549351500101,Z1,V1,-31.426399741874654,-64.18165375683701,1,True
1002,Maxikiosco La Plaza,María Rodríguez,549351500102,Z1,V1,-31.42164294228443,-64.19039929635915,2,True
1003,Kiosco El Sol,Carlos Gómez,549351500103,Z1,V1,-31.410759212301848,-64.17932469086007,3,True
1004,Minimarket Córdoba,Ana Martínez,549351500104,Z1,V1,-31.424913468016893,-64.17558769037508,4,True
1005,Fiambrería El Paso,José González,549351500105,Z1,V1,-31.426284866733486,-64.18687387632755,1,True
1006,Maxikiosco Centro,Laura Fernández,549351500106,Z1,V1,-31.41487147308552,-64.19175268860472,2,True
1007,Almacén Los Amigos,Luis López,549351500107,Z1,V1,-31.42222789638352,-64.19636313672758,3,True
1008,Despensa Clarita,Lucía Díaz,549351500108,Z1,V1,-31.413921404465523,-64.18140277349329,4,True
1009,Kiosco Leo,Diego Silva,549351500109,Z1,V1,-31.412857623586977,-64.19170942507102,1,True
1010,Supermercado Aconcagua,Sofía Romero,549351500110,Z2,V1,-31.456844029767726,-64.17757366903973,2,True
1011,Pollería San Martín,Gabriel Sosa,549351500111,Z2,V1,-31.44024465452028,-64.17766033795601,3,True
1012,Minisuper El Turco,Elena Alvarez,549351500112,Z2,V1,-31.45326849200452,-64.18883398760357,4,True
1013,Carnicería La Huella,Francisco Ruiz,549351500113,Z2,V1,-31.4489217309173,-64.17402688626704,1,True
1014,Ferretería El Tornillo,Clara Torres,549351500114,Z2,V1,-31.454678806955997,-64.19477409975887,2,True
1015,Despensa Belgrano,Martín Benítez,549351500115,Z2,V1,-31.442510575247194,-64.17666013520767,3,True
1016,Kiosco Las Flores,Valeria Acosta,549351500116,Z2,V1,-31.43948643711935,-64.17762892144141,4,True
1017,Rotisería Doña María,Pedro Medina,549351500117,Z2,V1,-31.433645221664495,-64.18413052580509,1,True
1018,Pizzería Nápoles,Julia Herrera,549351500118,Z3,V2,-31.383751024849442,-64.18791517494701,2,True
