pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,PSQ-0295,DESENGRASANTE 500ML PSQUIMICA,3,2260.75,2,Pedido histórico field mock (2025-06-02),true,5493587905250
PF-000001,PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,4,14102.66,2,Pedido histórico field mock (2025-06-02),true,5493587905250
PF-000001,PSQ-0318,DETERGENTE USO DIRECTO X5L,1,6194.52,2,Pedido histórico field mock (2025-06-02),true,5493587905250
PF-000002,PSQ-0295,DESENGRASANTE 500ML PSQUIMICA,2,2260.75,2,Pedido histórico field mock (2025-06-19),true,5493587905250
PF-000002,PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,1,14102.66,2,Pedido histórico field mock (2025-06-19),true,5493587905250
PF-000002,PSQ-0318,DETERGENTE USO DIRECTO X5L,4,6194.52,2,Pedido histórico field mock (2025-06-19),true,5493587905250
PF-000003,PSQ-0295,DESENGRASANTE 500ML PSQUIMICA,4,2260.75,2,Pedido histórico field mock (2025-07-14),true,5493587905250
PF-000003,PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,3,14102.66,2,Pedido histórico field mock (2025-07-14),true,5493587905250
PF-000003,PSQ-0218,CAMISETA 50 X 70 MUNDI MAX X PAQ (20),4,6553.30,2,Pedido histórico field mock (2025-07-14),true,5493587905250
PF-000004,PSQ-0295,DESENGRASANTE 500ML PSQUIMICA,4,2260.75,2,Pedido histórico field mock (2025-07-30),true,5493587905250
PF-000004,PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,1,14102.66,2,Pedido histórico field mock (2025-07-30),true,5493587905250
PF-000004,PSQ-0198,CAJA EMPANADA X 100U,3,8978.85,2,Pedido histórico field mock (2025-07-30),true,5493587905250
PF-000005,PSQ-0295,DESENGRASANTE 500ML PSQUIMICA,2,2260.75,2,Pedido histórico field mock (2025-08-25),true,5493587905250
PF-000005,PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,1,14102.66,2,Pedido histórico field mock (2025-08-25),true,5493587905250
PF-000005,PSQ-0198,CAJA EMPANADA X 100U,4,8978.85,2,Pedido histórico field mock (2025-08-25),true,5493587905250
PF-000005,PSQ-0212,CAMISETA 40 X 50 ECO MUNDI POLIM. X PAQ (20),4,2271.48,2,Pedido histórico field mock (2025-08-25),true,5493587905250
PF-000006,PSQ-0295,DESENGRASANTE 500ML PSQUIMICA,1,2260.75,2,Pedido histórico field mock (2025-09-19),true,5493587905250
PF-000006,PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,3,14102.66,2,Pedido histórico field mock (2025-09-19),true,5493587905250
PF-000007,PSQ-0295,DESENGRASANTE 500ML PSQUIMICA,4,2260.75,2,Pedido histórico field mock (2025-09-30),true,5493587905250
PF-000007,PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,3,14102.66,2,Pedido histórico field mock (2025-09-30),true,5493587905250
