pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587120001,25001,160-02,Sahumerio empaste simple x100 BENJUI,5,6219.42,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587120001,25001,PTB-20510726,SARTEN TEFLON C/TAPA VIDRIO PARIS ROJO Nº26,4,82014.66,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00002,5493587120001,25001,1522,LAMPAZO BARRENDERO 0.60MT MEDIANO,3,11578.31,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00002,5493587120001,25001,SND-2521,LAMPAZO BARRENDERO PREMIUM 0.40MT CHICO,1,22792.31,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00003,5493587120001,25001,150-02,Sahumerio empaste simple x15 BENJUI,2,1209.21,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00004,5493587120002,25002,B5122,ASADERA ENLOZ SALPICADA N°2 21X30CM,3,4706.42,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00004,5493587120002,25002,SND-569,REJILLA AMERICANA SUN-D 35X43CM,5,708.92,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00005,5493587120002,25002,A2470,ABRELATA MANIJA LOEKEMEYER,5,10224.14,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00005,5493587120002,25002,8030,TRAPO PISO MT CONSORCIO BLANCO 60*70,2,3324.04,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00005,5493587120002,25002,3410,DETERGENTE ALBO 5LT,3,7413.75,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00006,5493587120002,25002,PTB-20144622,SARTEN TEFLON RECTA C/TAPA PARIS Nº22,4,31391.13,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00006,5493587120002,25002,FL-904,MACETA COLOR N° 35,1,5647.55,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00007,5493587120003,25003,1522,LAMPAZO BARRENDERO 0.60MT MEDIANO,4,8557.89,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00007,5493587120003,25003,160-12,Sahumerio empaste simple x100 LAVANDA,5,4596.96,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00008,5493587120003,25003,FS-2035,ESCOBILLON BARREGRUESO,1,5204.13,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00009,5493587120003,25003,1950,CABO MADERA P/SOPAPA,1,479.19,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00009,5493587120003,25003,B2533,ORGANIZADOR C/TAPA 10LTS,5,6163.59,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00009,5493587120003,25003,160-10,Sahumerio empaste simple x100 INCIENSO,1,4596.96,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00009,5493587120003,25003,MK-6130,ABRELATA MARIPOSA MAKE,2,7167.44,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00010,5493587120004,25004,1522,LAMPAZO BARRENDERO 0.60MT MEDIANO,4,10068.10,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00011,5493587120004,25004,1802,BARREHOJA METALICO REGULABLE,2,13981.08,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00011,5493587120004,25004,051-14,Esencia para hornillo LAVANDA,5,1332.19,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00012,5493587120004,25004,FS-2040,SECADOR DOPPIO BLANCO 41CM,2,4171.68,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00013,5493587120005,25005,FL-904,MACETA COLOR N° 35,5,7216.31,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00013,5493587120005,25005,B2510,JARDINERA N° 45,3,4021.89,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00014,5493587120005,25005,3410,DETERGENTE ALBO 5LT,4,9473.12,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
