pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493587120001,2025-06-01 13:33:00,confirmado,62991.57,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493587120001,2025-06-24 14:53:00,confirmado,83285.19,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493587120001,2025-07-16 15:37:00,confirmado,65617.04,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493587120001,2025-07-30 15:15:00,confirmado,73475.38,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493587120001,2025-08-26 14:03:00,confirmado,80338.81,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493587120001,2025-09-16 13:42:00,confirmado,30325.31,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493587120001,2025-10-07 11:03:00,confirmado,52061.42,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493587120002,2025-06-01 18:54:00,confirmado,67817.61,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493587120002,2025-06-24 16:16:00,confirmado,18603.75,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493587120002,2025-07-14 11:40:00,confirmado,29212.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493587120002,2025-08-08 11:16:00,confirmado,44040.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493587120002,2025-08-23 09:25:00,confirmado,87852.75,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493587120002,2025-09-10 14:07:00,confirmado,24000.39,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493587120002,2025-10-04 15:10:00,confirmado,29212.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5493587120003,2025-06-01 14:44:00,confirmado,87612.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5493587120003,2025-06-26 13:45:00,confirmado,23103.91,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5493587120003,2025-07-09 17:08:00,confirmado,45699.03,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,5493587120003,2025-07-29 12:46:00,confirmado,53765.84,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,5493587120003,2025-08-24 17:13:00,confirmado,95967.76,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,5493587120003,2025-09-10 17:37:00,confirmado,44261.46,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,5493587120003,2025-10-07 13:14:00,confirmado,57245.96,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,5493587120004,2025-06-05 12:17:00,confirmado,68782.06,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,5493587120004,2025-06-23 09:07:00,confirmado,63859.78,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,5493587120004,2025-07-13 18:52:00,confirmado,48376.03,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,5493587120004,2025-07-29 16:55:00,confirmado,46192.46,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,5493587120004,2025-08-28 11:41:00,confirmado,55504.89,Pedido histórico field mock,true,false,fase-06-1-field-backbone
